strategy,seed,iteration,num_labeled_samples,query_time,test_mAP,test_mAP_oth,num_segments_oth,test_mAP_whp,num_segments_whp,test_mAP_rum,num_segments_rum,test_mAP_grn,num_segments_grn,test_mAP_gig,num_segments_gig,test_mAP_str,num_segments_str,test_mAP_fed,num_segments_fed,test_mAP_sql,num_segments_sql,test_mAP_snr,num_segments_snr,test_mAP_gwl,num_segments_gwl
badge-kmeans++,1,7,2400,10.558635,0.615841,0.330125,463,0.780821,231,0.642236,130,0.844753,278,0.493126,225,0.421763,111,0.826781,613,0.600605,323,0.874792,43,0.343408,75
badge-kmeans++,1,8,2700,11.032815,0.612605,0.319180,535,0.787004,256,0.641909,150,0.851221,318,0.499597,252,0.396926,122,0.836754,714,0.595069,372,0.881227,49,0.317163,88
badge-kmeans++,1,9,3000,14.123018,0.621311,0.322951,599,0.788971,277,0.644991,174,0.852262,358,0.508386,281,0.410368,132,0.835981,810,0.603269,404,0.874298,54,0.371633,96
badge-kmeans++,2,0,300,0.000292,0.227888,0.112023,13,0.554173,9,0.020938,0,0.637294,11,0.090851,2,0.018453,1,0.654861,29,0.159221,9,0.018054,1,0.013009,2
badge-kmeans++,2,1,600,10.641145,0.443233,0.198296,50,0.679250,48,0.470526,10,0.789590,57,0.284041,25,0.076710,6,0.750668,107,0.369516,39,0.778751,7,0.034977,9
badge-kmeans++,2,2,900,11.474637,0.527472,0.269279,134,0.693096,84,0.552438,27,0.801057,97,0.415726,71,0.287030,24,0.780489,195,0.513150,104,0.859630,22,0.102829,27
badge-kmeans++,2,3,1200,10.846358,0.559892,0.279548,217,0.723650,108,0.576158,42,0.815203,130,0.426263,101,0.325026,45,0.800102,299,0.570773,158,0.884764,28,0.197435,36
badge-kmeans++,2,4,1500,11.188686,0.581345,0.289120,274,0.736245,143,0.606086,54,0.821683,169,0.458103,123,0.370067,63,0.808312,374,0.579701,196,0.908339,35,0.235798,45
badge-kmeans++,2,5,1800,10.85027,0.593814,0.303028,338,0.757951,168,0.618142,73,0.830039,204,0.449855,154,0.392774,80,0.813127,478,0.588815,243,0.897949,42,0.286460,54
badge-kmeans++,2,6,2100,11.364802,0.600863,0.303083,394,0.757121,189,0.636885,91,0.837851,240,0.446378,175,0.402090,92,0.822327,569,0.586976,280,0.893632,45,0.322282,66
badge-kmeans++,2,7,2400,10.940221,0.609884,0.317697,455,0.768877,215,0.640762,108,0.841814,270,0.455801,202,0.421007,107,0.827819,653,0.612756,314,0.908563,49,0.303741,75
badge-kmeans++,2,8,2700,11.574155,0.614722,0.326300,526,0.775192,235,0.642394,124,0.849146,307,0.463216,231,0.400719,121,0.834226,758,0.597092,355,0.916010,53,0.342922,84
badge-kmeans++,2,9,3000,11.588335,0.617486,0.329606,588,0.776039,257,0.644663,144,0.842668,341,0.486146,250,0.379125,133,0.833322,851,0.601965,386,0.914618,55,0.366711,93
badge-kmeans++,3,0,300,0.000287,0.253393,0.115312,13,0.557490,14,0.055234,4,0.703664,12,0.044533,5,0.063699,4,0.715737,18,0.256827,5,0.003766,1,0.017672,2
badge-kmeans++,3,1,600,10.760616,0.465673,0.190808,67,0.713966,53,0.452427,17,0.789012,65,0.267523,32,0.259222,15,0.746941,93,0.506922,41,0.700566,6,0.029345,7
badge-kmeans++,3,2,900,10.756246,0.541520,0.241223,145,0.739786,85,0.595267,60,0.813549,104,0.428123,75,0.317642,34,0.775127,168,0.514553,105,0.834053,19,0.155872,23
